card_set,card_rarity,card_name,card_index,card_price,created_time
eb01,P-L,光月おでん(パラレル),EB01-001,980,2025-04-03 22:12:39
eb01,P-R,キッド&キラー(パラレル),EB01-003,980,2025-04-03 22:12:43
eb01,P-SR,トニートニー・チョッパー(パラレル),EB01-006,1280,2025-04-03 22:12:47
eb01,P-SR,トニートニー・チョッパー(パラレル)(スーパーパラレル),EB01-006,79800,2025-04-03 22:12:51
eb01,P-SR,キャベンディッシュ(パラレル),EB01-012,1280,2025-04-03 22:12:55
eb01,P-R,光月日和(パラレル),EB01-013,780,2025-04-03 22:13:02
eb01,P-L,ハンニャバル(パラレル),EB01-021,980,2025-04-03 22:13:08
eb01,P-SR,イナズマ(パラレル),EB01-022,780,2025-04-03 22:13:13
eb01,P-R,Mr.1(ダズ・ボーネス)(パラレル),EB01-027,980,2025-04-03 22:13:17
eb01,P-R,カリファ(パラレル),EB01-031,780,2025-04-03 22:13:21
eb01,P-SR,ミス・ウェンズデー(パラレル),EB01-034,780,2025-04-03 22:13:25
eb01,P-L,キュロス(パラレル),EB01-040,980,2025-04-03 22:13:29
eb01,P-SR,ブルック(パラレル),EB01-046,1280,2025-04-03 22:13:33
eb01,P-SR,ラブーン(パラレル),EB01-048,980,2025-04-03 22:13:46
eb01,P-R,Tボーン(パラレル),EB01-049,780,2025-04-03 22:13:51
eb01,P-SR,ヴィオラ(パラレル),EB01-052,780,2025-04-03 22:13:57
eb01,P-R,シャーロット・フランペ(パラレル),EB01-056,1780,2025-04-03 22:14:04
eb01,P-SR,しらほし(パラレル),EB01-057,2480,2025-04-03 22:14:09
eb01,SEC,Mr.2・ボン・クレー(ベンサム),EB01-061,2980,2025-04-03 22:14:14
eb01,P-SEC,Mr.2・ボン・クレー(ベンサム)(パラレル),EB01-061,5980,2025-04-03 22:14:21
eb02,P-R,トニートニー・チョッパー(パラレル),EB02-003,780,2025-04-03 22:14:37
eb02,P-SR,ヤマト(パラレル),EB02-006,1280,2025-04-03 22:14:43
eb02,P-L,モンキー・D・ルフィ(パラレル),EB02-010,14800,2025-04-03 22:14:47
eb02,P-SR,アーロン(パラレル),EB02-011,780,2025-04-03 22:14:51
eb02,P-SR,ジュエリー・ボニー(パラレル),EB02-015,1280,2025-04-03 22:15:10
eb02,P-R,ナミ(パラレル),EB02-017,2480,2025-04-03 22:15:16
eb02,P-R,ウソップ(パラレル),EB02-022,780,2025-04-03 22:15:29
